,Answer Labels,freq,time
0,Social Policy,0.23735408560311283,05-11-2019
1,Migration and  Integration,0.23000432338953739,05-11-2019
2,Environmental  Policy,0.13942931258106356,05-11-2019
3,Economic  Policy,0.08311716385646346,05-11-2019
4,Security,0.07544314742758322,05-11-2019
5,Political System and Processes,0.07241677475140511,05-11-2019
6,Not specified,0.03685689580631215,05-11-2019
7,"Values, political culture and general  social criticism",0.03545179420665802,05-11-2019
8,Others,0.02972330306960657,05-11-2019
9,Education Policy,0.022265456117596196,05-11-2019
10,Foreign  Policy,0.012429744920017293,05-11-2019
11,Do not know,0.011024643320363165,05-11-2019
12,Health Policy,0.009619541720709036,05-11-2019
13,Family and Gender Equality Policy,0.0025940337224383916,05-11-2019
14,East  Germany,0.0019455252918287938,05-11-2019
15,Media and  Communication,0.00032425421530479895,05-11-2019
16,Health Policy,0.5950386247415951,21-04-2020
17,Migration and  Integration,0.09509302578609509,21-04-2020
18,Economic  Policy,0.08943531715808943,21-04-2020
19,Social Policy,0.0752910455880753,21-04-2020
20,Not specified,0.03002937656403003,21-04-2020
21,Political System and Processes,0.02709172016102709,21-04-2020
22,Others,0.020563594821020565,21-04-2020
23,Environmental  Policy,0.019693178109019695,21-04-2020
24,Security,0.017517136329017517,21-04-2020
25,Education Policy,0.01000979218801001,21-04-2020
26,"Values, political culture and general  social criticism",0.008051354586008051,21-04-2020
27,Do not know,0.00728973996300729,21-04-2020
28,Foreign  Policy,0.0031552605810031553,21-04-2020
29,Family and Gender Equality Policy,0.0014144271570014145,21-04-2020
30,Media and  Communication,0.0002176041780002176,21-04-2020
31,East  Germany,0.0001088020890001088,21-04-2020
32,Health Policy,0.5421192372676804,03-11-2020
33,Migration and  Integration,0.11066859763456433,03-11-2020
34,Social Policy,0.09075549118995897,03-11-2020
35,Economic  Policy,0.06215302920588945,03-11-2020
36,Security,0.03970552739560705,03-11-2020
37,Not specified,0.03475742215785663,03-11-2020
38,Environmental  Policy,0.032102341298575914,03-11-2020
39,Political System and Processes,0.029688631426502535,03-11-2020
40,Others,0.02087859039343471,03-11-2020
41,"Values, political culture and general  social criticism",0.01351677528361091,03-11-2020
42,Education Policy,0.011344436398744872,03-11-2020
43,Do not know,0.007965242577842143,03-11-2020
44,Foreign  Policy,0.0026550808592807145,03-11-2020
45,Family and Gender Equality Policy,0.0009654839488293508,03-11-2020
46,Media and  Communication,0.0006034274680183442,03-11-2020
47,East  Germany,0.00012068549360366884,03-11-2020
48,Health Policy,0.5415196111074116,25-02-2021
49,Social Policy,0.08570287008057535,25-02-2021
50,Economic  Policy,0.08443763734434308,25-02-2021
51,Migration and  Integration,0.06359459279483252,25-02-2021
52,Political System and Processes,0.05160817739894786,25-02-2021
53,Environmental  Policy,0.04241859226210295,25-02-2021
54,Others,0.0324965039621762,25-02-2021
55,Not specified,0.03123127122594393,25-02-2021
56,Security,0.024305786774988347,25-02-2021
57,Education Policy,0.01425051608177399,25-02-2021
58,"Values, political culture and general  social criticism",0.013451421722048345,25-02-2021
59,Do not know,0.007524805220749817,25-02-2021
60,Foreign  Policy,0.0033295598321901845,25-02-2021
61,Family and Gender Equality Policy,0.0028634214556835587,25-02-2021
62,Media and  Communication,0.000865685556369448,25-02-2021
63,East  Germany,0.00039954717986282216,25-02-2021
64,Health Policy,0.4736369290304747,06-05-2021
65,Economic  Policy,0.09405016930412549,06-05-2021
66,Social Policy,0.08796904153133854,06-05-2021
67,Environmental  Policy,0.0737336742450418,06-05-2021
68,Migration and  Integration,0.06509570865869671,06-05-2021
69,Political System and Processes,0.054246423882247256,06-05-2021
70,Not specified,0.03745421878239237,06-05-2021
71,Others,0.031234883560223897,06-05-2021
72,Security,0.027295971252850527,06-05-2021
73,Education Policy,0.01997097643562988,06-05-2021
74,"Values, political culture and general  social criticism",0.019556354087485316,06-05-2021
75,Do not know,0.00919079538387119,06-05-2021
76,Foreign  Policy,0.003247875060465759,06-05-2021
77,Family and Gender Equality Policy,0.002349526639485868,06-05-2021
78,Media and  Communication,0.0008983484209798908,06-05-2021
79,East  Germany,6.910372469076083e-05,06-05-2021
80,Health Policy,0.3370085925024713,07-07-2021
81,Social Policy,0.12219603072009733,07-07-2021
82,Economic  Policy,0.11763364002737435,07-07-2021
83,Environmental  Policy,0.11489620561174055,07-07-2021
84,Migration and  Integration,0.10926925709071554,07-07-2021
85,Political System and Processes,0.046460345220895746,07-07-2021
86,Not specified,0.04037715763059843,07-07-2021
87,Security,0.0295794996578207,07-07-2021
88,Others,0.02653790586267204,07-07-2021
89,Education Policy,0.0235723519124021,07-07-2021
90,"Values, political culture and general  social criticism",0.014827769751349707,07-07-2021
91,Do not know,0.010569538438141585,07-07-2021
92,Foreign  Policy,0.0036499125541783893,07-07-2021
93,Family and Gender Equality Policy,0.0025853547258763592,07-07-2021
94,East  Germany,0.0005322789141510152,07-07-2021
95,Media and  Communication,0.0003041593795148658,07-07-2021
96,Health Policy,0.33512104283054006,11-08-2021
97,Environmental  Policy,0.1810800744878957,11-08-2021
98,Social Policy,0.10733705772811918,11-08-2021
99,Migration and  Integration,0.10256983240223463,11-08-2021
100,Economic  Policy,0.09214152700186219,11-08-2021
101,Political System and Processes,0.046405959031657354,11-08-2021
102,Not specified,0.03992551210428305,11-08-2021
103,Others,0.025400372439478586,11-08-2021
104,Security,0.021675977653631284,11-08-2021
105,Education Policy,0.017355679702048418,11-08-2021
106,"Values, political culture and general  social criticism",0.013482309124767226,11-08-2021
107,Do not know,0.008864059590316574,11-08-2021
108,Foreign  Policy,0.006480446927374301,11-08-2021
109,Family and Gender Equality Policy,0.001638733705772812,11-08-2021
110,East  Germany,0.000297951582867784,11-08-2021
111,Media and  Communication,0.000223463687150838,11-08-2021
112,Health Policy,0.2604726100966702,15-09-2021
113,Environmental  Policy,0.2046186895810956,15-09-2021
114,Social Policy,0.1339573423354304,15-09-2021
115,Migration and  Integration,0.11669479822003989,15-09-2021
116,Economic  Policy,0.10204081632653061,15-09-2021
117,Political System and Processes,0.04480589228172472,15-09-2021
118,Not specified,0.04081632653061224,15-09-2021
119,Others,0.021482277121374866,15-09-2021
120,Security,0.021482277121374866,15-09-2021
121,Education Policy,0.019947828755562374,15-09-2021
122,"Values, political culture and general  social criticism",0.013810035292312414,15-09-2021
123,Do not know,0.009973914377781187,15-09-2021
124,Foreign  Policy,0.007211907319318705,15-09-2021
125,Family and Gender Equality Policy,0.0019947828755562374,15-09-2021
126,East  Germany,0.0003836120914531226,15-09-2021
127,Media and  Communication,0.0003068896731624981,15-09-2021
128,Environmental  Policy,0.21085925144965736,29-09-2021
129,Health Policy,0.2020483470140824,29-09-2021
130,Social Policy,0.1475261691392424,29-09-2021
131,Economic  Policy,0.12508472023495745,29-09-2021
132,Migration and  Integration,0.10324572633481437,29-09-2021
133,Political System and Processes,0.06687250545974847,29-09-2021
134,Not specified,0.04879885533549213,29-09-2021
135,Others,0.022968597032909106,29-09-2021
136,Education Policy,0.022516755779802698,29-09-2021
137,Security,0.02086000451841253,29-09-2021
138,"Values, political culture and general  social criticism",0.014157692597334137,29-09-2021
139,Do not know,0.00790722192936215,29-09-2021
140,Foreign  Policy,0.0037653437758867385,29-09-2021
141,Family and Gender Equality Policy,0.0018073650124256345,29-09-2021
142,East  Germany,0.0012049100082837563,29-09-2021
143,Media and  Communication,0.00037653437758867385,29-09-2021
144,Health Policy,0.5788587914729925,09-12-2021
145,Social Policy,0.08006090719666613,09-12-2021
146,Environmental  Policy,0.07813752203878827,09-12-2021
147,Migration and  Integration,0.0710851097932361,09-12-2021
148,Economic  Policy,0.04920660362237538,09-12-2021
149,Political System and Processes,0.03213656034620933,09-12-2021
150,Not specified,0.023481327135758935,09-12-2021
151,Security,0.02284019874979965,09-12-2021
152,"Values, political culture and general  social criticism",0.020516108350697226,09-12-2021
153,Others,0.017951594806860073,09-12-2021
154,Education Policy,0.011380028850777367,09-12-2021
155,Do not know,0.006571565956082706,09-12-2021
156,Foreign  Policy,0.004487898701715018,09-12-2021
157,Family and Gender Equality Policy,0.001923385157877865,09-12-2021
158,East  Germany,0.0007212694342041994,09-12-2021
159,Media and  Communication,0.0006411283859592883,09-12-2021
